ID,choice,tt1,tc1,hw1,ch1,tt2,tc2,hw2,ch2,hh_inc_abs,car_availability,commute,shopping,business,leisure
1,2,23,3,15,2,31,2,15,1,90000,1,0,0,0,1
1,2,17,3,60,2,24,2,60,0,90000,1,0,0,0,1
1,1,18,3,15,0,26,2,60,0,90000,1,0,0,0,1
1,2,28,3,15,2,35,2,15,1,90000,1,0,0,0,1
1,2,23,3,60,2,31,2,30,0,90000,1,0,0,0,1
1,2,19,3,30,1,26,2,15,1,90000,1,0,0,0,1
1,1,23,3,15,1,28,2,30,0,90000,1,0,0,0,1
1,1,25,3,30,0,31,2,30,2,90000,1,0,0,0,1
1,1,21,3,15,1,28,2,60,1,90000,1,0,0,0,1
2,1,28,13,15,1,37,12,60,2,10000,0,0,0,0,1
2,2,28,17,60,1,35,12,60,1,10000,0,0,0,0,1
2,2,26,13,30,2,35,12,60,0,10000,0,0,0,0,1
2,2,28,17,15,1,37,12,30,0,10000,0,0,0,0,1
2,1,26,14,15,1,37,12,30,2,10000,0,0,0,0,1
2,2,29,20,30,2,41,15,15,2,10000,0,0,0,0,1
2,2,41,12,15,2,31,14,60,0,10000,0,0,0,0,1
2,1,51,15,30,0,38,17,15,1,10000,0,0,0,0,1
2,1,25,13,30,1,35,12,15,1,10000,0,0,0,0,1
3,1,22,6,15,1,31,5,60,1,50000,0,0,0,0,1
3,2,26,7,60,1,35,5,15,0,50000,0,0,0,0,1
3,1,26,5,30,0,23,6,60,2,50000,0,0,0,0,1
3,1,24,6,15,0,28,5,60,0,50000,0,0,0,0,1
3,2,31,5,15,0,28,6,15,0,50000,0,0,0,0,1
3,2,26,6,30,1,28,5,15,0,50000,0,0,0,0,1
3,2,26,5,15,2,21,6,15,2,50000,0,0,0,0,1
3,2,26,5,60,2,19,6,30,2,50000,0,0,0,0,1
3,1,17,8,15,1,24,6,30,2,50000,0,0,0,0,1
4,1,12,11,15,1,9,12,15,2,112500,0,1,0,0,0
4,1,9,9,60,0,6,11,60,2,112500,0,1,0,0,0
4,1,10,10,60,0,7,12,15,0,112500,0,1,0,0,0
4,1,13,8,15,1,10,9,15,2,112500,0,1,0,0,0
4,1,12,8,30,0,9,11,60,2,112500,0,1,0,0,0
4,2,7,11,30,1,10,9,15,1,112500,0,1,0,0,0
4,1,11,9,30,0,8,11,15,1,112500,0,1,0,0,0
4,2,12,8,30,2,9,11,30,0,112500,0,1,0,0,0
4,2,8,10,15,1,11,8,60,1,112500,0,1,0,0,0
5,1,109,24,30,0,129,22,30,1,10000,0,0,0,0,1
5,2,89,22,15,2,67,25,60,0,10000,0,0,0,0,1
5,1,89,22,30,0,76,26,15,2,10000,0,0,0,0,1
5,2,114,26,60,2,97,29,60,1,10000,0,0,0,0,1
5,1,75,31,30,0,94,27,60,0,10000,0,0,0,0,1
5,1,94,20,15,1,80,23,60,1,10000,0,0,0,0,1
5,2,94,20,15,0,66,25,60,0,10000,0,0,0,0,1
5,1,66,26,60,0,94,24,30,1,10000,0,0,0,0,1
5,2,129,22,60,0,90,25,30,2,10000,0,0,0,0,1
6,1,39,13,15,1,29,15,15,2,10000,0,1,0,0,0
6,1,21,14,60,2,31,10,60,0,10000,0,1,0,0,0
6,2,32,13,60,0,23,15,15,0,10000,0,1,0,0,0
6,2,35,11,15,2,44,10,15,1,10000,0,1,0,0,0
6,2,29,13,60,2,39,10,30,0,10000,0,1,0,0,0
6,2,24,14,30,1,32,10,15,1,10000,0,1,0,0,0
6,1,29,13,15,1,36,12,30,0,10000,0,1,0,0,0
6,1,31,13,30,0,39,10,30,2,10000,0,1,0,0,0
6,1,27,12,15,1,36,10,60,1,10000,0,1,0,0,0
7,1,98,40,15,1,73,46,15,2,50000,0,0,0,0,1
7,1,77,31,60,0,54,41,60,2,50000,0,0,0,0,1
7,2,81,38,60,0,57,44,15,0,50000,0,0,0,0,1
7,1,88,33,15,2,110,30,15,1,50000,0,0,0,0,1
7,1,98,30,30,0,73,40,60,2,50000,0,0,0,0,1
7,2,61,41,30,1,81,31,15,1,50000,0,0,0,0,1
